OBJECTID_1,AREA_NAME,HOOD_ID,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,POPULATION_2023,Shape__Area,Shape__Length
36,Cliffcrest,123,81,99,110,119,138,136,110,98,134,183,499.3218994,610.5834351,677.7990112,720.4698486,818.0201416,793.0029297,635.5809937,564.1261597,762.6202393,1021.09137,19,13,11,18,23,19,19,31,42,60,117.1248932,80.17762756,67.7798996,108.9786301,136.3366852,110.7871704,109.7821655,178.4480743,239.0302277,334.7840576,6,2,7,9,1,4,5,2,3,3,36.98680878,12.33501911,43.13266373,54.48931503,5.9276824,23.32361603,28.89004517,11.51277924,16.73920321,16.7392025,42,58,59,36,53,46,36,30,21,24,258.9076538,357.7155457,363.5467224,217.9572601,314.1671753,268.2215881,208.008316,172.6916809,119.5151138,133.91362,0,1,0,0,1,1,0,1,0,1,0,6.167509556,0,0,5.9276824,5.830904007,0,5.756389618,0,5.579734325,29,22,25,34,15,29,23,13,14,13,178.769577,135.6852112,154.0452271,205.848526,88.91523743,169.0962067,132.8942108,74.83306122,79.67674255,72.5365448,0,2,0,0,2,1,1,0,4,4,0,12.33501911,0,0,11.8553648,5.830904007,5.778008938,0,22.76478195,22.3189373,39,56,63,71,65,107,88,73,78,49,240.4142456,345.3805237,388.1939697,429.8601379,385.2993469,623.9066772,508.4647827,420.2164307,435.2192836,273.4069824,4,5,3,7,3,3,9,3,5,2,24.65787125,30.8375473,18.48542786,42.38057709,17.78304672,17.49271202,52.00207901,17.26916885,28.45597839,11.15946865,17922,7190836.36010742,19944.1073049258
37,Birchcliffe-Cliffside,122,140,133,198,161,199,209,146,142,159,209,628.0561523,597.1623535,887.414856,714.6661987,871.2021484,904.7619019,630.5878296,615.3846436,685.5812378,892.5139771,13,17,15,13,24,26,20,30,46,71,58.31949997,76.32902527,67.22839355,57.70596695,105.0696106,112.5541153,86.38189697,130.0108337,198.3442535,303.1985168,10,18,22,17,8,5,14,11,6,6,44.86115646,80.8189621,98.60164642,75.46164703,35.02320099,21.64502144,60.46732712,47.67063904,25.62241107,25.62241173,73,81,76,83,70,57,46,42,31,35,327.4864197,363.6853333,340.6238708,368.4303894,306.4530334,246.7532501,198.67836,182.0151672,133.6667786,149.4640656,0,1,0,1,1,0,0,0,1,,0,4.489942551,0,4.438920498,4.377900124,0,0,0,4.311831474,,16,26,25,15,22,32,21,14,15,13,71.77784729,116.7385025,112.0473251,66.5838089,96.31380463,138.5281372,90.70098877,60.67172241,64.67747498,55.51522446,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,8.658008575,0,4.333694458,0,4.270401955,83,108,93,58,98,93,88,68,69,54,372.3475952,484.9137878,416.8160706,257.4573975,429.0342407,402.5974121,380.0803223,294.6912231,294.6577273,230.6016998,3,5,6,5,8,7,5,4,6,7,13.45834637,22.44971275,26.89135933,22.19460297,35.02320099,30.30303001,21.59547424,17.33477783,25.87099075,29.89281273,23417,6009067.38696289,14693.4888602702
38,Downtown Yonge East,168,343,398,357,475,503,620,508,599,543,656,2594.75,3026.846191,2722.696777,3436.053223,3452.536133,4050.698975,3184.354004,3633.606201,3168.952393,3639.793701,27,19,17,14,48,43,25,45,43,45,204.2514496,144.4976807,129.6522217,101.2731476,329.4666748,280.9355774,156.7103424,272.9754333,250.948349,249.6809692,158,129,117,161,188,172,102,165,177,205,1195.249268,981.0631714,892.3123779,1164.641235,1290.411133,1123.74231,639.3781738,1000.909912,982.0784553,1137.435547,88,82,85,112,123,181,144,161,110,118,665.7084351,623.621582,648.2611084,810.1851807,844.2583618,1182.542847,902.6515503,976.6454468,641.9608765,654.7189941,1,2,1,0,2,0,1,0,0,2,7.564868927,15.21028233,7.626601696,0,13.72777843,0,6.268413544,0,0,11.09693146,89,101,100,122,143,115,86,96,76,90,673.2733154,768.1192627,762.6601563,882.5231323,981.5361328,751.3393555,539.0835571,582.3475952,443.5366211,499.3619385,0,4,3,0,2,5,4,7,3,5,0,30.42056465,22.87980461,0,13.72777843,32.66692734,25.07365417,42.46284485,17.50802422,27.74232864,193,158,143,227,182,254,192,118,81,113,1460.019653,1201.612305,1090.604004,1642.071777,1249.227783,1659.47998,1203.5354,715.8022461,449.4257338,626.9766235,23,11,30,20,20,20,24,26,19,25,173.9919739,83.65655518,228.7980499,144.6759186,137.2777863,130.6677094,150.441925,157.7191315,110.8841553,138.7116394,18023,808531.202880859,4251.56733939615
39,Church-Wellesley,167,223,206,296,308,362,350,306,399,385,334,1265.032959,1136.489014,1585.940796,1592.307251,1803.956787,1687.641602,1438.443115,1841.425171,1730.725952,1456.098999,11,10,8,17,26,17,8,33,16,37,62.40072632,55.16936874,42.86326599,87.88709259,129.5659485,81.97116852,37.60635376,152.2983246,71.92627716,161.3043823,89,105,97,129,92,120,109,98,86,102,504.8786011,579.2783813,519.7171021,666.9078979,458.4641418,578.6199951,512.3865967,452.2798462,374.9237074,444.6769409,61,73,62,87,79,128,98,87,73,76,346.0404053,402.7363892,332.1903076,449.775116,393.6811829,617.1946411,460.6778564,401.5137634,328.1636353,331.3279419,0,2,3,1,1,1,0,0,1,1,0,11.03387356,16.07372475,5.169828892,4.983305931,4.821833134,0,0,4.495392323,4.359578133,41,38,51,44,54,48,57,41,43,55,232.5845184,209.6436005,273.2533264,227.4724731,269.0985107,231.447998,267.945282,189.2191315,193.3018646,239.7767944,0,1,1,0,0,1,1,2,2,1,0,5.516936779,5.357908249,0,0,4.821833134,4.70079422,9.230200768,8.990784645,4.359578133,99,68,67,54,53,92,64,54,53,78,561.6065063,375.1517029,358.9798584,279.1707458,264.1152039,443.6086731,300.8508301,249.2154388,231.0576336,340.0470886,10,5,12,10,21,21,19,21,20,26,56.72793198,27.58468437,64.29489899,51.69828796,104.6494217,101.2584991,89.31509399,96.91711426,89.90784454,113.3490295,22938,556185.245361328,3151.47804394103
40,St Lawrence-East Bayfront-The Islands,166,182,201,228,228,317,282,278,365,403,445,806.8091431,861.847168,944.881897,902.7915039,1200.257446,1025.268188,977.668396,1252.65979,1336.73877,1435.344971,20,11,7,16,20,19,13,31,39,43,88.66033936,47.16576767,29.00953102,63.35379028,75.72602081,69.07834625,45.71830368,106.3902817,129.3618164,138.6962585,124,98,128,119,153,146,129,132,124,106,549.6940918,420.2041016,530.460022,471.1938171,579.3040771,530.812561,453.6662598,453.0166931,399.9612941,341.9024048,57,49,62,68,78,104,98,150,128,97,252.6819763,210.1020508,256.9415588,269.2536011,295.3314819,378.1130676,344.6456909,514.791687,424.572113,312.8729553,0,0,0,1,0,0,0,0,2,,0,0,0,3.959611893,0,0,0,0,6.633939266,,35,15,16,21,42,32,45,43,34,42,155.1555939,64.31695557,66.30750275,83.15184784,159.0246429,116.3424835,158.2556763,147.5736084,112.7769699,135.4707642,4,0,3,4,2,0,4,2,5,3,17.73206902,0,12.43265629,15.83844757,7.572602272,0,14.0671711,6.863889217,16.5848484,9.676483154,124,115,88,90,72,123,160,77,101,111,549.6940918,493.0966492,364.6912537,356.3650818,272.613678,447.1914063,562.6868286,264.2597351,325.774925,358.0298767,16,19,16,20,17,28,18,23,23,31,70.92827606,81.46813965,66.30750275,79.19223785,64.36711884,101.799675,63.30226898,78.9347229,76.29029846,99.99032593,31003,11314215.3041992,19766.0747742551
41,Harbourfront-CityPlace,165,131,144,144,182,149,185,224,283,266,271,565.0692139,576.7151489,537.6745605,659.5397949,523.965271,633.7786865,752.3342285,938.7335205,863.4681396,860.946106,14,14,10,20,9,14,21,27,27,34,60.38908005,56.06952667,37.33851242,72.47689819,31.64890862,47.96163177,70.53133392,89.5611496,87.64526367,108.0153732,66,73,123,153,129,129,77,93,93,88,284.6913757,292.3625183,459.2636719,554.4482422,453.6343384,441.9321594,258.6148987,308.4884033,295.4538234,279.5692139,27,64,38,63,81,82,75,54,58,77,116.464653,256.3178406,141.8863373,228.3022308,284.8401794,280.9181213,251.8976288,179.1222992,188.2750092,244.6230621,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6.717269897,0,0,3.176922798,11,7,15,16,26,20,16,23,33,22,47.44856262,28.03476334,56.00776672,57.98151779,91.43017578,68.51661682,53.73815918,76.29283142,107.1219864,69.89230347,1,1,0,1,6,2,5,6,3,3,4.31350565,4.004966259,0,3.623844862,21.09927177,6.851661682,16.79317474,19.90247726,9.738362312,9.530768394,90,93,69,71,64,40,50,51,60,90,388.2155151,372.461853,257.6357117,257.2929993,225.0588989,137.0332336,167.9317474,169.1710663,190.61537,285.9230652,12,15,23,12,19,20,14,9,15,15,51.76206589,60.07449341,85.87857819,43.48613739,66.81436157,68.51661682,47.02088928,29.8537159,48.69181442,47.65384293,31477,1138334.07421875,7255.36128654652
42,Wellington Place,164,449,515,559,531,489,425,320,375,474,429,3034.604004,3099.981934,3028.661133,2638.509277,2241.063232,1810.899536,1280,1424.772095,1698.742065,1485.971558,28,20,25,29,40,33,40,48,73,71,189.2403412,120.3876495,135.4499664,144.0993805,183.3180542,140.6110229,160,182.3708191,261.6206055,245.9300385,109,97,164,168,186,144,117,106,115,80,736.6856079,583.8800659,888.5517578,834.7825928,852.4289551,613.5753784,468,402.7355652,398.3373744,277.104248,77,76,114,130,176,156,180,149,128,141,520.4109497,457.473053,617.6518555,645.9627075,806.5994263,664.706604,720,566.109436,458.7320251,488.3962708,1,1,0,1,1,1,1,1,2,1,6.758583546,6.019382477,0,4.968944073,4.582951546,4.260940075,4,3.799391985,7.167687893,3.463803291,32,40,47,52,53,51,24,26,63,46,216.2746735,240.7752991,254.6459351,258.3851013,242.8964233,217.3079376,96,98.78419495,225.7821808,159.3349457,3,6,3,11,9,8,2,6,8,6,20.27575111,36.11629486,16.2539959,54.65838623,41.24656296,34.0875206,8,22.79635239,28.67075157,20.78281975,212,149,84,110,102,110,145,106,79,92,1432.819702,896.8880005,455.1118774,546.5838623,467.4610596,468.7033997,580,402.7355652,273.6404572,318.6698914,19,15,20,20,24,29,25,21,22,32,128.4130859,90.29073334,108.3599701,99.37888336,109.9908371,123.5672607,100,79.78723145,78.84456635,110.8417053,28870,979639.036376953,4214.2619768025
43,Fort York-Liberty Village,163,97,112,99,99,130,125,93,153,164,167,646.1928101,671.3018188,538.6289673,522.0692749,664.31604,621.1488647,452.2906189,734.2355347,768.9422607,763.9524536,10,15,14,10,13,19,16,14,16,23,66.61781311,89.90649414,76.1697464,52.734272,66.43160248,94.41462708,77.81344604,67.18495178,75.01875305,105.215004,40,71,60,76,102,120,66,54,32,43,266.4712524,425.5574341,326.4417725,400.7804565,521.2325439,596.3029175,320.9804382,259.1419373,146.3860933,196.7063141,33,37,28,58,43,83,46,41,28,33,219.8387909,221.7693634,152.3394928,305.8587646,219.7352905,412.4428406,223.7136536,196.7559204,131.2828217,150.9606628,0,2,0,0,1,0,0,0,0,2,0,11.98753262,0,0,5.110123158,0,0,0,0,9.149130821,9,7,4,2,5,8,14,7,10,7,59.9560318,41.95636368,21.76278496,10.54685402,25.55061531,39.75352859,68.08676147,33.59247589,46.88672256,32.0219574,1,2,1,0,3,1,1,2,4,1,6.661781311,11.98753262,5.440696239,0,15.330369,4.969191074,4.863340378,9.597849846,18.75468826,4.574565411,41,57,24,39,32,47,44,38,30,37,273.1330261,341.6446838,130.5767212,205.6636658,163.523941,233.5519714,213.986969,182.3591461,137.2369625,169.2589264,11,14,11,8,8,12,4,17,15,12,73.27959442,83.91272736,59.84766006,42.18741608,40.88098526,59.63029099,19.45336151,81.58172607,70.33008575,54.89478683,21860,2339540.37084961,9924.96381932796
44,West Queen West,162,130,138,122,136,107,115,102,112,117,108,982.5410156,1028.16272,890.6409912,976.0298462,752.8848877,795.7376099,698.7258301,764.0357666,789.6868286,713.5306396,12,7,7,6,7,14,12,13,23,14,90.6960907,52.15318298,51.10235214,43.06014252,49.25415039,96.87240601,82.20304108,88.682724,155.2375793,92.49471283,51,45,63,67,66,88,82,38,28,42,385.4584045,335.2704468,459.9211426,480.8382263,464.3962708,608.9122314,561.7207642,259.2264099,184.9894292,277.4841309,34,29,42,31,28,65,63,51,36,43,256.9722595,216.0631866,306.6141052,222.4773865,197.0166016,449.76474,431.565979,347.9091492,242.9805603,284.0909119,0,0,1,0,1,0,1,0,0,,0,0,7.300335884,0,7.036307335,0,6.850253582,0,0,,19,12,7,7,8,11,8,13,6,10,143.6021423,89.40545654,51.10235214,50.23683167,56.29045868,76.11402893,54.80202866,88.682724,40.49676132,66.06764984,0,2,3,1,1,1,0,1,0,,0,14.90090942,21.9010067,7.176690102,7.036307335,6.919457436,0,6.82174778,0,,99,50,48,87,58,56,40,52,38,31,748.2427368,372.5227356,350.4161072,624.3720093,408.105835,387.489624,274.0101318,354.730896,251.0570825,204.8097229,6,4,6,4,7,6,7,6,6,5,45.34804535,29.80181885,43.8020134,28.70676041,49.25415039,41.51674652,47.9517746,40.93048477,40.49676132,33.03382492,15136,901748.542480469,4286.66847969292
45,Humber Bay Shores,161,58,77,77,81,75,94,82,102,121,152,395.0146484,484.2158203,449.687561,457.678833,409.7688904,498.5679321,424.9585266,520.7801514,602.7397461,729.9971313,7,8,7,19,9,22,17,25,52,78,47.67418289,50.30813599,40.88068771,107.3567657,49.17226791,116.6861115,88.10115814,127.6421967,259.028656,374.6037903,9,13,31,38,62,74,39,23,23,16,61.29537582,81.75072479,181.043045,214.7135315,338.7422791,392.4896545,202.1144257,117.4308167,110.4600903,76.8418045,13,20,16,15,14,34,19,29,27,37,88.5377655,125.77034,93.44156647,84.75534058,76.49019623,180.3330841,98.46600342,148.0649414,134.495636,177.6966705,0,1,0,0,0,1,0,0,2,,0,6.288516998,0,0,0,5.30391407,0,0,9.962639809,,1,6,3,6,15,10,8,6,8,9,6.81059742,37.73110199,17.52029419,33.90213394,81.95378113,53.03914261,41.45936966,30.63412666,39.85055923,43.22351456,0,2,0,0,0,2,1,1,3,1,0,12.577034,0,0,0,10.60782814,5.182421207,5.105687618,14.94396019,4.802612782,47,21,35,34,14,19,28,20,66,30,320.0980835,132.0588531,204.4034271,192.1121063,76.49019623,100.7743683,145.1077881,102.1137543,316.972433,144.0783844,6,6,10,8,7,5,11,6,12,10,40.86358261,37.73110199,58.4009819,45.20284653,38.24509811,26.5195713,57.00663376,30.63412666,59.77584076,48.02612686,20822,1578118.50683594,16145.7930864194
46,Mimico-Queensway,160,148,128,166,262,413,230,205,268,343,519,871.5109863,745.6165771,953.1465454,1488.044556,2311.265381,1273.039185,1130.722534,1480.744751,1885.029663,2834.052246,28,26,28,22,13,41,34,32,63,69,164.8804626,151.4533691,160.771698,124.9503021,72.75169373,226.933075,187.5344696,176.8053436,346.22995,376.7815247,18,19,6,22,40,23,9,18,25,5,105.9945831,110.6774597,34.45108032,124.9503021,223.8513641,127.3039246,49.64147949,99.45301056,136.515044,27.30300903,42,46,33,43,36,46,34,25,47,34,247.320694,267.9559631,189.4809418,244.2210541,201.4662323,254.6078491,187.5344696,138.1291809,258.2985229,185.6604614,0,0,1,1,0,0,1,0,0,1,0,0,5.741846561,5.679559231,0,0,5.515719891,0,0,5.460601807,9,13,9,17,14,7,3,8,16,8,52.99729156,75.72668457,51.67662048,96.55250549,78.34797668,38.74467087,16.54715919,44.20133591,87.93141174,43.68481445,0,1,1,1,1,1,1,2,1,2,0,5.825129509,5.741846561,5.679559231,5.596283913,5.534953117,5.515719891,11.05033398,5.495713234,10.92120361,69,48,37,43,42,73,47,35,64,54,406.312561,279.6062317,212.4483185,244.2210541,235.0439301,404.0515747,259.2388306,193.3808441,349.4785125,294.8724976,4,9,7,5,6,14,8,7,11,25,23.55435181,52.42616653,40.1929245,28.39779663,33.57770538,77.48934174,44.12575912,38.67617035,60.45284653,136.5150452,18313,5480612.03466797,13398.7011030995
47,Etobicoke City Centre,159,144,159,130,135,155,137,142,156,205,308,740.1696167,784.1010132,614.947937,618.1884766,686.6610718,589.1712646,596.814209,645.8023071,828.3497925,1208.079956,64,76,103,71,122,118,102,118,187,294,328.9642639,374.7904053,487.2279968,325.1213379,540.468689,507.4613953,428.6975098,488.4914856,755.6166382,1153.167236,6,12,19,13,11,16,17,23,14,17,30.8404007,59.17743301,89.87701416,59.52926254,48.73078537,68.80832672,71.44958496,95.21443939,54.91272799,66.67974091,57,85,65,56,71,74,56,76,86,70,292.9837952,419.1734924,307.4739685,256.4337463,314.5350647,318.2384949,235.3633423,314.6216125,347.5028381,274.5636292,2,0,0,0,2,1,0,1,1,3,10.28013325,0,0,0,8.860142708,4.30052042,0,4.13975811,4.040730476,11.76701355,20,23,21,45,20,22,19,11,43,40,102.8013382,113.4234161,99.33774567,206.0628204,88.60142517,94.6114502,79.85542297,45.53734207,173.7514191,156.8935089,2,1,3,3,1,2,3,3,2,4,10.28013325,4.931452751,14.1911068,13.73752213,4.430071354,8.60104084,12.60875034,12.41927433,8.081460953,15.68935108,135,123,97,92,107,118,148,127,188,188,693.9089966,606.5687256,458.8457947,421.2839966,474.0176392,507.4613953,622.0316772,525.7492676,737.3994901,737.3994751,33,39,31,27,49,27,23,32,45,60,169.6222076,192.3266602,146.6414337,123.6376953,217.0735016,116.1140518,96.66708374,132.4722595,181.8328705,235.3402557,25495,10134665.5534668,17420.268633481
48,Islington,158,88,52,84,72,83,77,75,56,96,137,380.9688721,223.4156799,356.9303894,301.0033569,339.8992615,310.3962708,299.808136,223.1342316,378.3400269,528.2029419,26,24,33,24,36,57,50,58,94,170,112.5589828,103.1149292,140.2226563,100.3344498,147.426178,229.7738495,199.8720856,231.1033173,370.4579468,655.4343262,14,12,6,6,4,7,13,8,4,8,60.60868454,51.5574646,25.49502754,25.08361244,16.38068771,28.2178421,51.96673965,31.87631989,15.42198404,30.84396744,54,58,40,40,48,51,43,44,53,58,233.7763519,249.1944122,169.9668579,167.2240753,196.5682526,205.5871277,171.8899841,175.3197632,208.8752289,223.6187744,,,,,,,,,,,,,,,,,,,,,18,12,21,24,14,15,16,10,26,12,77.92545319,51.5574646,89.23259735,100.3344498,57.33240509,60.4668045,63.95906448,39.84539795,102.4670944,46.26595306,0,4,3,0,2,2,1,1,0,,0,17.18582153,12.74751377,0,8.190343857,8.062240601,3.99744153,3.984539986,0,,75,104,54,64,73,73,71,38,74,47,324.6893921,446.8313599,229.4552612,267.5585327,298.9475403,294.2717896,283.8183594,151.4125214,285.3067047,181.208313,2,6,6,6,5,9,8,6,8,13,8.658383369,25.7787323,25.49502754,25.08361244,20.47585869,36.2800827,31.97953224,23.90723991,31.52833557,50.12144852,25937,6105215.07104492,13591.2857804698
49,Bendale South,157,59,71,80,103,84,67,79,62,41,82,549.7577515,659.9126587,739.7817383,946.4302368,765.3061523,608.6482544,719.293457,569.2250977,376.7689819,753.6071777,10,12,7,11,15,20,8,15,21,24,93.17927551,111.5345306,64.73090363,101.0750732,136.6618042,181.6860504,72.83984375,137.7157593,192.9792328,220.5679626,4,2,7,2,0,1,0,3,3,2,37.27170944,18.58908844,64.73090363,18.377285,0,9.084301949,0,27.54315186,27.57099531,18.38066292,26,29,28,35,18,21,11,4,8,15,242.2661133,269.5417786,258.9236145,321.6025085,163.9941711,190.7703552,100.1547852,36.7242012,73.51589966,137.8549805,1,0,1,0,0,0,0,0,0,,9.317927361,0,9.247272491,0,0,0,0,0,0,,15,16,17,13,4,6,3,9,5,20,139.7689209,148.7127075,157.2036285,119.4523544,36.44314957,54.5058136,27.31494141,82.62945557,45.94743729,183.8066406,1,0,2,1,1,0,3,2,1,1,9.317927361,0,18.49454498,9.188642502,9.110787392,0,27.31494141,18.3621006,9.189487457,9.190331459,15,29,17,47,26,37,24,26,28,25,139.7689209,269.5417786,157.2036285,431.8662109,236.8804626,336.1191711,218.5195313,238.7073059,257.3292896,229.7583008,2,2,4,4,,1,1,,1,2,18.63585472,18.58908844,36.98908997,36.75457001,,9.084301949,9.104980469,,9.189487457,18.38066292,10881,2543590.73510742,7242.17363603241
50,Caledonia-Fairbank,109,57,61,64,69,62,75,51,65,61,63,556.043335,596.4020386,625.3052979,669.1882324,593.869751,712.9277344,484.6526794,621.414917,581.2845459,595.4068604,11,4,11,7,11,9,10,9,25,33,107.3066025,39.10832977,107.47435,67.88866425,105.3639832,85.55133057,95.02993774,86.04206848,238.231369,311.8797913,3,1,5,3,3,0,4,3,2,9,29.26543808,9.777082443,48.8519783,29.09514046,28.73563194,0,38.01197433,28.68068886,18.90180512,85.05812073,28,19,13,10,9,9,10,10,6,14,273.1440735,185.7645721,127.0151443,96.9838028,86.20689392,85.55133057,95.02993774,95.60229492,57.17552948,132.3126373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.450902939,14,9,15,9,9,16,7,3,4,4,136.5720367,87.9937439,146.5559387,87.28542328,86.20689392,152.0912476,66.52095032,28.68068886,38.11701965,37.80361176,0,1,0,1,2,0,2,2,0,2,0,9.777082443,0,9.69838047,19.15708733,0,19.00598717,19.1204586,0,18.90180588,17,11,12,21,21,22,19,20,24,10,165.8374786,107.547905,117.244751,203.6659851,201.1494293,209.125473,180.5568695,191.2045898,226.8216615,94.50902557,5,1,1,1,1,2,2,5,2,2,48.77573013,9.777082443,9.770395279,9.69838047,9.578543663,19.01140594,19.00598717,47.80114746,19.05850983,18.90180588,10581,1544557.65722656,4956.20458595366
51,Briar Hill-Belgravia,108,66,79,64,67,78,74,75,65,91,89,446.9425049,537.6343994,436.6514282,453.2539673,520.833313,490.0662231,496.1958313,432.4396362,603.288269,587.6138916,14,14,15,10,36,19,37,28,54,37,94.8059845,95.27698517,102.3401794,67.64984131,240.384613,125.8278122,244.7899475,186.2816772,357.9952393,244.2889252,20,9,7,7,12,3,13,1,5,5,135.4371185,61.24948883,47.75875092,47.35489273,80.12820435,19.8675499,86.00727844,6.652917385,33.01201637,33.0120163,43,29,31,31,33,49,46,39,26,38,291.1898193,197.3594666,211.5030365,209.7145233,220.3525696,324.5033264,304.3334351,259.4637756,172.3680725,250.8913269,0,0,0,1,0,0,0,1,1,,0,0,0,6.764984608,0,0,0,6.652917385,6.629541397,,16,12,21,22,23,27,8,14,14,22,108.3497009,81.66598511,143.2762451,148.8296509,153.5790558,178.8079529,52.92755508,93.14083862,92.81357574,145.2528687,0,0,2,4,0,4,1,0,6,1,0,0,13.64535713,27.05993843,0,26.49006653,6.615944386,0,39.77724838,6.602403164,29,35,31,32,32,35,66,58,42,53,196.3838348,238.1924591,211.5030365,216.4795074,213.6752167,231.7880859,436.6523438,385.8692017,277.3009375,349.9273682,9,2,4,4,4,6,8,3,7,8,60.94670486,13.61099815,27.29071426,27.05993843,26.70940208,39.73509979,52.92755508,19.95875168,46.40678787,52.81922531,15146,1827724.55981445,6289.0499925237
