_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2018,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
21, ,Budweiser Stage (formerly Molson Canadian Amphitheatre),Sports / Entertainment Venue,416-260-5600, ,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,20100991, ,20100991,909,Lake Shore Blvd W,909 Lake Shore Blvd W,M6K 3L3,former Toronto,Toronto,Budweiser Stage,107002,30021271,909, , , ,1962,Spadina-Fort York,19,10,3194249,"Located within the Ontario Place grounds, the Budweiser Stage offers concert goers an excellent outdoors venue.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4149144290634, 43.6313239897966]]}"
22, ,Campbell House,Museum,416-597-0227, ,http://www.campbellhousemuseum.ca/,8067818, ,8067818,160,Queen St W,160 Queen St W,M5H 3H3,former Toronto,Toronto,Sir William Campbell House Museum - Building Grounds,115001,8067830,160, , , ,4238,Spadina-Fort York,20,10,3837738,The Campbell house dates back to 1822 and was once home to Judge William Campbell.  It is the last example of Palladian architecture in  Toronto.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3869534917039, 43.6529004815823]]}"
23, ,Canada's Walk of Fame,Landmark,416-367-9255, ,https://www.canadaswalkoffame.com/,7929669, ,7929669,215,King St W,215 King St W, ,former Toronto,Toronto, ,115001,7929656,215, , , ,3780,Spadina-Fort York,20,10,3836291,Canada's Walk of Fame celebrates Canadians who have excelled in their respective fields for at least 10 years. The stars are displayed throughout the Entertainment District along King Street West and Simcoe Street.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3873645899985, 43.6489407572229]]}"
24, ,Chinese Cultural Centre of Greater Toronto,Attraction,416-292-9293, ,https://www.cccgt.org/,13504489, ,13504489,5183,Sheppard Ave E,5183 Sheppard Ave E,M1B 5Z5,Scarborough,Toronto, ,107010,30063121,5183, , , ,6698,Scarborough North,42,23,3814396,"The building houses the P.C. Ho theatre, studios, conference rooms, a resource centre, a reception hall and an art gallery.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.2332837504065, 43.7966759868522]]}"
25, ,Canadian Museum of Cultural Heritage of Indo-Canadian,Museum,416-798-2277, ,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,7063040, ,7063040,61,Claireville Dr,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto, ,114001,7063031,61, , , ,1350,Etobicoke North,1,1,2361585,The Canadian Museum of Cultural Heritage of Indo-Canadians is a museum committed to the understanding of India's rich cultural heritage. See BAPS Shri Swaminarayan Mandir.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.6248083236811, 43.7412808602927]]}"
26, ,Canadian Sculpture Centre,Gallery,647-435-5858, ,https://www.sculptorssocietyofcanada.org/,30115345, ,7730188,19,Mill St,19 Mill St,M5A 3R6,former Toronto,Toronto, ,115001,7730338,500, , , ,503,Spadina-Fort York,28,10,2303768,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,N,"{'type': 'MultiPoint', 'coordinates': [[-79.3611396471424, 43.6522665453388]]}"
27, ,Casa Loma,Attraction,416-923-1171, ,https://casaloma.ca/,10663925, ,10663925,1,Austin Ter,1 Austin Ter,M5R 1X8,former Toronto,Toronto, ,107010,10663924,1, , , ,2922,Toronto-St. Paul's,22,12,2241692,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4093251494109, 43.6801118295003]]}"
28, ,CBC Museum,Museum,416-205-5574, ,https://www.cbc.ca/museum/,10598280, ,10598280,250,Front St W,250 Front St W,M5V 3G5,former Toronto,Toronto, ,115001,10598276,250, , , ,3472,Spadina-Fort York,20,10,2650427,The CBC Museum features various CBC archival materials that date back to 1936. The museum also features the Graham Spry Theatre and a number of interactive exhibits.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3875038118449, 43.6464170196587]]}"
29, ,Cedar Ridge Creative Centre,Gallery,416-396-4026, ,https://www.toronto.ca/explore-enjoy/history-art-culture/cultural-centres-galleries/cedar-ridge-creative-centre/,322165, ,322165,225,Confederation Dr,225 Confederation Dr,M1G 1B2,Scarborough,Toronto, ,106007,109219,225, , , ,7639,Scarborough-Guildwood,43,24,3838177,"Situated in a restored mansion, the centre features the Cedar Ridge gallery and rich gardens. The gallery highlights work from artists throughout the Greater Toronto area.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.2069258352205, 43.7594306389004]]}"
30, ,CF Fairview Mall,Landmark,416-491-0151, ,https://www.cfshops.com/fairview-mall.html,14068149, ,,1800,Sheppard Ave E,1800 Sheppard Ave E,M2J 5A7,North York,Toronto, ,,,, , , ,,Don Valley North,33,17,,An upscale shopping centre in the north eastern part of Toronto., ,"{'type': 'MultiPoint', 'coordinates': [[-79.3442952425811, 43.7797388046115]]}"
31, ,Centennial Park,Nature/ Park,416-394-8750, ,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,7472090, ,7472090,256,Centennial Park Rd,256 Centennial Park Rd,M9C 5N3,Etobicoke,Toronto,Centennial Park - Etobicoke,115001,30053225,256, , , ,1322,Etobicoke Centre,3,2,3836085,"Centennial Park is situated in Etobicoke and was opened in 1967 to celebrate Canada's 100th birthday. The park features sports fields, a conservatory, a ski hill, an Olympic size swimming pool, picnic areas and a Frisbee golf course.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.5866713806478, 43.6593174245531]]}"
32, ,Centennial Park Conservatory,Nature/ Park,416-394-8543, ,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/,5495477, ,5495477,151,Elmcrest Rd,151 Elmcrest Rd, ,Etobicoke,Toronto, ,106001,30009179,151, , , ,1543,Etobicoke Centre,3,2,4200895,"The Centennial Park conservatory is located within Centennial Park. At a size of 12,000 square feet it features an arid house, a show house and a tropical house. The conservatory is open year round and is free to the public.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.5881487657249, 43.6514644687664]]}"
33,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centre Island Beach,Nature/ Park,311, ,http://app.toronto.ca/tpha/beach/5.html,8133372, ,8133372,1,Avenue Of The Islands,1 Avenue Of The Islands, ,former Toronto,Toronto, ,115001,8128883,1, , , ,11373,Spadina-Fort York,28,10,3363020,Centre Island Beach also known as Manitou Beach has been used by locals and tourists alike for more than a century. The beach is located on the south end of Centre Island. It is surrounded by park space and amenities such as bike and boat rentals.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3715604620601, 43.6185984939237]]}"
34,Located on Toronto Island - take ferry from 9 Queen's Quay West,Centreville Amusement Park,Attraction,416-203-0405, ,http://www.centreisland.ca/,8133385, ,8133385,21,Avenue Of The Islands,21 Avenue Of The Islands, ,former Toronto,Toronto, ,115001,30084435,21, , , ,11373,Spadina-Fort York,28,10,4159572,"Centreville is a 14-acre, turn-of-the-century, Ontario village theme park for children located on Centre Island, featuring over 30 rides.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3729806810988, 43.622406028807]]}"
35, ,Cherry Beach/ Clarke Beach Park,Nature/ Park,416-338-4386, ,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,10495088, ,10495088,275,Unwin Ave,275 Unwin Ave, ,former Toronto,Toronto,Cherry Beach Sports Fields,106005,30068422,275, , , ,4587,Toronto-Danforth,30,14,4170002,"Cherry Beach is located within the port lands and features a dog's off leash area, the Martin Goodman Trail and a picnic site.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3414268025911, 43.6431743573946]]}"
36, ,Cloud Gardens Conservatory,Garden / Conservatory,416-392-7288, ,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/cloud-gardens-conservatory/,8677073, ,8677073,14,Temperance St,14 Temperance St,M5H 1Y4,former Toronto,Toronto,Cloud Gardens,115001,30100056,14, , , ,4536,Toronto Centre,28,13,4250856,"Renovated in 2014, the conservatory is situated within the heart of the city's financial district. It features a small greenhouse that is set to the conditions of a rainforest.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3795099556221, 43.653075209767]]}"
37, ,CN Tower,Attraction,416-868-6937, ,http://www.cntower.ca/,30113619, ,10598279,290,Bremner Blvd,290 Bremner Blvd,M5V 3L9,former Toronto,Toronto, ,107010,7929684,301, , , ,3472,Spadina-Fort York,20,10,2252756,"The CN Tower is an engineering marvel and one of the city's most visited sites. It features the world's highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3865074039913, 43.6439027446131]]}"
38, ,Colborne Lodge,Museum,416-392-6916, ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,7730490, ,7730490,11,Colborne Lodge Dr,11 Colborne Lodge Dr, ,former Toronto,Toronto,Colborne Lodge(Howard House),107008,30063345,11, , , ,3197,Parkdale-High Park,13,4,3816049,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4597662106434, 43.6423463729116]]}"
39, ,Dancemakers and the Centre for Creation,Performing Arts,416-367-1800, ,http://dancemakers.org/,30032097, ,30032097,9,Trinity St,9 Trinity St,M5A 3C4,former Toronto,Toronto, ,115001,30029438,9, , , ,4574,Spadina-Fort York,28,10,3232761,"One of Toronto's professional contemporary dance companies, Dancemakers and the Centre for Creation is focused on the delivery of refined and passionate dance to its admirers.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.359060552096, 43.6520247718486]]}"
40, ,Design Exchange,Museum,416-363-6121, ,https://dx.org/,14206258, ,14206258,234,Bay St,234 Bay St, ,former Toronto,Toronto, ,115001,8087327,234, , , ,2962,Spadina-Fort York,28,10,2593198,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3802838161557, 43.6501438483124]]}"
41, ,Downsview Park,Nature/ Park,416-952-2222, ,https://en.downsviewpark.ca/home,13494845, ,13494845,35,Carl Hall Rd,35 Carl Hall Rd,M3K 2E2,North York,Toronto, ,113001,6248382,35, , , ,11506,York Centre,9,6,3011325,"The vast green space allows for an array of small-to-large scale events such as culture, dining, leisure, sports, and recreation.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4789616449492, 43.7486565893989]]}"
42, ,Ed Mirvish Theatre,Performing Arts,416-872-1212, ,https://www.mirvish.com/theatres/ed-mirvish-theatre,14199877, ,14199877,244,Victoria St,244 Victoria St,M5B 1V8,former Toronto,Toronto, ,115001,7641770,244, , , ,9790,Toronto Centre,27,13,2398205,"A part of the Toronto theatre scene since 1920, the Ed Mirvish Theatre is a picturesque theatre to view special presentations ranging from concerts, comedy, plays, and many more.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3791989964706, 43.6572449292893]]}"
43, ,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-2901, ,http://www.heritagetrust.on.ca/ewg/home.aspx,7762814, ,7762814,189,Yonge St,189 Yonge St,M5B 1M4,former Toronto,Toronto, ,107002,7762785,189, , , ,4733,Toronto Centre,27,13,2001997,The Elgin and Winter Garden Theatre features two completely separate theatres and is the last running double-decker theatre in the world .,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3790010464263, 43.6550551232493]]}"
44, ,Enercare Centre,Convention & Trade Centres,416-263-3000, ,https://www.enercarecentre.com/,13497734, ,13497734,100,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto,CNE Direct Energy Centre,107007,14065264,100, , , ,20228,Spadina-Fort York,19,10,4163968,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4123529029789, 43.6365299779587]]}"
45, ,Evergreen Brick Works,Attraction,416-596-1495, ,http://www.evergreen.ca/get-involved/evergreen-brick-works/,17494, ,17494,550,Bayview Ave,550 Bayview Ave,M4W 3X8,East York,Toronto,Don Valley Brick Works,113001,30071848,550, , , ,24,University-Rosedale,29,11,4068255,"A former brickyard, the Evergreen Brick Works is an urban model for ecosystem planning. Filled with activities for the whole family and a farmers market.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3654285356436, 43.6857816393402]]}"
46, ,Exhibition Place,Convention & Trade Centres,416-263-3000, ,https://www.explace.on.ca/,13497734, ,13497734,100,Princes' Blvd,100 Princes' Blvd,M6K 3C3,former Toronto,Toronto, ,107007,14065264,100, , , ,20228,Spadina-Fort York,19,10,4163968,"Attracting over 5 million visitors a year, this massive complex features sporting and exhibition facilities, a nightclub and attractions.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4123529029789, 43.6365299779587]]}"
47, ,Factory Theatre,Performing Arts,416-504-9971, ,https://www.factorytheatre.ca,8457322, ,8457322,125,Bathurst St,125 Bathurst St,M5V 2R2,former Toronto,Toronto, ,115001,8457317,125, , , ,436,Spadina-Fort York,20,10,2383679,"The Factory Theatre operates two theatres in a  Victorian mansion, where they have produced more than 150 Canadian plays, and various workshops.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4025154741294, 43.6475701365985]]}"
48, ,Famous PEOPLE Players,Performing Arts,416-532-1137, ,https://famouspeopleplayers.com/,30063014, ,30063014,343,Evans Ave,343 Evans Ave,M8Z 1K2,Etobicoke,Toronto, ,112001,913771,343, , , ,1575,Etobicoke-Lakeshore,6,3,3814167,"Located in Toronto's West End, Famous PEOPLE Players allows visitors to immerse themselves in a unique dining experience while enjoying theatre in the dark.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.5205713396751, 43.6171616064062]]}"
49, ,Fort York National Historic Site,Museum,416-392-6907, ,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,30104716, ,30017954,250,Fort York Blvd,250 Fort York Blvd,M5V 3K9,former Toronto,Toronto, ,104008,30013783,250, , , ,15826,Spadina-Fort York,19,10,3004743,"Birthplace of Toronto in 1793 and scene of the Battle of York in 1813, Fort York has Canadas largest collection of original War of 1812 buildings. Open year round for tours, exhibits, and demonstrations.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.4061161837391, 43.639863953045]]}"
50, ,Four Seasons Centre for the Performing Arts,Performing Arts,416-363-8231, ,https://www.coc.ca/venue-information/fourseasonscentre,856378, ,856378,145,Queen St W,145 Queen St W,M5H 4G1,former Toronto,Toronto, ,107002,1145285,145, , , ,4238,Spadina-Fort York,28,10,1884457,The Four Seasons Centre for the Performing Arts is home to the Canadian Opera Company and the National Ballet of Canada.,Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3856071743879, 43.6526174268151]]}"
51,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West,Franklin Children's Garden,Garden / Conservatory,416-397-2628, ,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,14258202, ,14258202,30,Centre Island Pk,30 Centre Island Pk,M5J 2E9,former Toronto,Toronto, ,102008,1147832,30, , , ,17507,Spadina-Fort York,28,10,1713485,"The garden, inspired by Franklin the Turtle, is an area to discover nature, play, while learning something new.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3781879875639, 43.6176993777379]]}"
52, ,Gardiner Museum of Ceramic Art,Museum,416-586-8080, ,https://www.gardinermuseum.on.ca/,8408486, ,8408486,111,Queen's Park,111 Queen's Park,M5S 2C7,former Toronto,Toronto, ,115001,8408484,111, , , ,11267,University-Rosedale,27,11,2942367,"A museum dedicated to one of the oldest forms of art. The Gardiner Museum of Ceramic Art is home to over 3,000 historical and contemporary ceramic pieces.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3933098536899, 43.6699840647769]]}"
53, ,George Ignatieff Theatre,Performing Arts,416-978-3862, ,https://www.trinity.utoronto.ca/discover/catering-events/george-ignatieff-theatre/,8408609, ,8408609,15,Devonshire Pl,15 Devonshire Pl,M5S 2C8,former Toronto,Toronto, ,107002,8408578,15, , , ,3293,University-Rosedale,20,11,2163690,"In the Trinity College community, the George Ignatieff Theatre acts as a creative hub ranging from events like theatre, conferences, and much more.",N,"{'type': 'MultiPoint', 'coordinates': [[-79.3969113276129, 43.6678409749322]]}"
54,Located on Toronto Island - take ferry from 9 Queen's Quay West to Centre Island,Gibraltar Point Beach,Nature/ Park,311, ,http://app.toronto.ca/tpha/beach/4.html,8133458, ,8133458,443,Lakeshore Ave,443 Lakeshore Ave,M5J 2W2,former Toronto,Toronto, ,115001,30096919,443, , , ,3802,Spadina-Fort York,28,10,4230440,"Surrounded by eastern cottonwood trees, the Gibraltar Point Beach is located on the southwest shore of Toronto Island Park. The Gibraltar Point Centre for the Arts is walking distance from the beach.",Y,"{'type': 'MultiPoint', 'coordinates': [[-79.3834808370525, 43.6150880577782]]}"
