Address,Geometry Type,Coordinates,_id,NAME,CATEGORY,PHONE,WEBSITE,POSTAL_CODE,CITY
19 Mill St,,,26,Canadian Sculpture Centre,Gallery,647-435-5858,https://www.sculptorssocietyofcanada.org/,M5A 3R6,Toronto
1 Austin Ter,,,27,Casa Loma,Attraction,416-923-1171,https://casaloma.ca/,M5R 1X8,Toronto
250 Front St W,,,28,CBC Museum,Museum,416-205-5574,https://www.cbc.ca/museum/,M5V 3G5,Toronto
225 Confederation Dr,,,29,Cedar Ridge Creative Centre,Gallery,416-396-4026,https://www.toronto.ca/explore-enjoy/history-art-culture/cultural-centres-galleries/cedar-ridge-creative-centre/,M1G 1B2,Toronto
1800 Sheppard Ave E,,,30,CF Fairview Mall,Landmark,416-491-0151,https://www.cfshops.com/fairview-mall.html,M2J 5A7,Toronto
256 Centennial Park Rd,,,31,Centennial Park,Nature/ Park,416-394-8750,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,M9C 5N3,Toronto
151 Elmcrest Rd,,,32,Centennial Park Conservatory,Nature/ Park,416-394-8543,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/, ,Toronto
1 Avenue Of The Islands,,,33,Centre Island Beach,Nature/ Park,311,http://app.toronto.ca/tpha/beach/5.html, ,Toronto
21 Avenue Of The Islands,,,34,Centreville Amusement Park,Attraction,416-203-0405,http://www.centreisland.ca/, ,Toronto
275 Unwin Ave,,,35,Cherry Beach/ Clarke Beach Park,Nature/ Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html, ,Toronto
14 Temperance St,,,36,Cloud Gardens Conservatory,Garden / Conservatory,416-392-7288,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/cloud-gardens-conservatory/,M5H 1Y4,Toronto
290 Bremner Blvd,,,37,CN Tower,Attraction,416-868-6937,http://www.cntower.ca/,M5V 3L9,Toronto
11 Colborne Lodge Dr,,,38,Colborne Lodge,Museum,416-392-6916,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/, ,Toronto
9 Trinity St,,,39,Dancemakers and the Centre for Creation,Performing Arts,416-367-1800,http://dancemakers.org/,M5A 3C4,Toronto
234 Bay St,,,40,Design Exchange,Museum,416-363-6121,https://dx.org/, ,Toronto
35 Carl Hall Rd,,,41,Downsview Park,Nature/ Park,416-952-2222,https://en.downsviewpark.ca/home,M3K 2E2,Toronto
244 Victoria St,,,42,Ed Mirvish Theatre,Performing Arts,416-872-1212,https://www.mirvish.com/theatres/ed-mirvish-theatre,M5B 1V8,Toronto
189 Yonge St,,,43,Elgin and Winter Garden Theatre Centre,Performing Arts,416-314-2901,http://www.heritagetrust.on.ca/ewg/home.aspx,M5B 1M4,Toronto
100 Princes' Blvd,,,44,Enercare Centre,Convention & Trade Centres,416-263-3000,https://www.enercarecentre.com/,M6K 3C3,Toronto
550 Bayview Ave,,,45,Evergreen Brick Works,Attraction,416-596-1495,http://www.evergreen.ca/get-involved/evergreen-brick-works/,M4W 3X8,Toronto
100 Princes' Blvd,,,46,Exhibition Place,Convention & Trade Centres,416-263-3000,https://www.explace.on.ca/,M6K 3C3,Toronto
125 Bathurst St,,,47,Factory Theatre,Performing Arts,416-504-9971,https://www.factorytheatre.ca,M5V 2R2,Toronto
343 Evans Ave,,,48,Famous PEOPLE Players,Performing Arts,416-532-1137,https://famouspeopleplayers.com/,M8Z 1K2,Toronto
250 Fort York Blvd,,,49,Fort York National Historic Site,Museum,416-392-6907,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,M5V 3K9,Toronto
145 Queen St W,,,50,Four Seasons Centre for the Performing Arts,Performing Arts,416-363-8231,https://www.coc.ca/venue-information/fourseasonscentre,M5H 4G1,Toronto
30 Centre Island Pk,,,51,Franklin Children's Garden,Garden / Conservatory,416-397-2628,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,M5J 2E9,Toronto
111 Queen's Park,,,52,Gardiner Museum of Ceramic Art,Museum,416-586-8080,https://www.gardinermuseum.on.ca/,M5S 2C7,Toronto
15 Devonshire Pl,,,53,George Ignatieff Theatre,Performing Arts,416-978-3862,https://www.trinity.utoronto.ca/discover/catering-events/george-ignatieff-theatre/,M5S 2C8,Toronto
443 Lakeshore Ave,,,54,Gibraltar Point Beach,Nature/ Park,311,http://app.toronto.ca/tpha/beach/4.html,M5J 2W2,Toronto
5172 Yonge St,,,55,Gibson House Museum,Museum,416-395-7432,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,M2N 5P6,Toronto
7450 Kingston Rd,,,56,Glen Rouge Campground,Nature/ Park,416-661-6600,http://www.rougepark.com/explore/interest/campground.php,M1B 0B7,Toronto
250 Front St W,,,57,Glenn Gould Studio,Performing Arts,416-205-5000,https://www.cbc.ca/glenngouldstudio/,M5V 3G5,Toronto
201 Guildwood Pkwy,,,58,Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,M1E 1P5,Toronto
610 Bay St,,,59,Toronto Coach Terminal,Transportation,311,https://www.greyhound.ca/en/locations/terminal.aspx?city=126300,M5G 1M5,Toronto
695 Lakeshore Ave,,,60,Hanlan's Point Beach,Nature/ Park,416-392-8196,https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html, ,Toronto
235 Queens Quay W,,,61,Harbourfront Centre,Performing Arts,416-973-4000,http://www.harbourfrontcentre.com/,M5J 2G8,Toronto
7 Hart House Crcl,,,62,Hart House Theatre,Performing Arts,416-978-8849,https://harthouse.ca/,M5S 3H3,Toronto
1873 Bloor St W,,,63,High Park,Nature/ Park,416-338-0338,http://www.highparktoronto.com/, ,Toronto
1091 Finch Ave E,,,64,Historic Zion Schoolhouse,Museum,416-395-7435,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/zion-schoolhouse/,M2J 2X3,Toronto
30 Yonge St,,,65,Hockey Hall of Fame,Attraction,416-360-7765,https://www.hhof.com/,M5E 1X8,Toronto
339 Queens Quay W,,,66,HTO Park,Nature/ Park,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/1663/index.html,M5V 1A2,Toronto
25 The West Mall,,,67,CF Sherway Gardens,Landmark,416-621-1070,https://www.cfshops.com/sherway-gardens.html,M9C 1B8,Toronto
205 Humber College Blvd,,,68,Humber Arboretum,Nature/ Park,416-675-5009,https://humber.ca/arboretum/,M9W 5L7,Toronto
100 Humber Bay Park Rd W,,,69,Humber Bay Park (Humber Bay Butterfly Habitat),Nature/ Park,311,https://www.toronto.ca/data/parks/prd/facilities/complex/1074/index.html,M8V 3X7,Toronto
93 Charles St W,,,70,Isabel Bader Theatre,Performing Arts,416-585-4498,https://www.vicu.utoronto.ca/hospitality-services/hold-an-event/isabel-bader-theatre/,M5S 1K5,Toronto
9 Queens Quay W,,,71,Jack Layton Ferry Terminal,Transportation,416-392-8193,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/all-ferry-schedules/,M5J 2H3,Toronto
99 Edenbridge Dr,,,72,James Garden Park,Garden / Conservatory,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/3/index.html, ,Toronto
2 Bloor St E,,,73,Japan Foundation,Museum,416-966-1600,https://jftor.org/,M4W 1A8,Toronto
1 Beech Ave,,,74,Balmy Beach Park,Nature/ Park,311,http://app.toronto.ca/tpha/beach/9.html,M4E 1A7,Toronto
2075 Queen St E,,,75,Kew Gardens Park,Nature/ Park,416-392-2489,https://www.kew.org/kew-gardens,M4L 1J1,Toronto
273 Bloor St W,,,76,Koerner Hall (at the Telus Centre for Performance and Learning),Performing Arts,416-408-0208,https://www.rcmusic.com/about-us/rcm-venue-rentals/koerner-hall,M5S 1W2,Toronto
100 Ossington Ave,,,77,Lower Ossington Theatre,Performing Arts,416-915-6747,http://lowerossingtontheatre.com/,M6J 2Z4,Toronto
82 Bond St,,,78,Mackenzie House,Museum,416-392-6915,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/,M5B 1X2,Toronto
2 Forty Second St,,,79,Marie Curtis Park East Beach,Nature/ Park,311,http://app.toronto.ca/tpha/beach/1.html, ,Toronto
178 Victoria St,,,80,Massey Hall,Performing Arts,416-872-4255,https://www.masseyhall.com/,M5B 1T7,Toronto
50 Carlton St,,,81,Mattamy Athletic Centre,Sports / Entertainment Venue,416-979-5339,https://www.mattamyathleticcentre.ca/,M5B 1J2,Toronto
10 Dufferin St,,,82,Medieval Times Dinner and Tournament,Performing Arts,1-866-543-9637,https://www.medievaltimes.com/,M6K 3C3,Toronto
222 Bremner Blvd,,,83,Metro Toronto Convention Centre,Convention & Trade Centres,416-585-8000,https://www.mtccc.com/,M5V 3L9,Toronto
4709 Dundas St W,,,84,Montgomery's Inn,Museum,416-394-8113,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/montgomerys-inn/,M9A 1A8,Toronto
299 Queen St W,,,85,MuchMusic (Bell Media Queen Street),Landmark,416-591-5757,https://www.much.com/,M5V 2Z5,Toronto
158 Sterling Rd,,,86,Museum of Contemporary Canadian Art,Gallery,416-395-0067,https://moca.ca/,M6R 2B7,Toronto
33 Gerrard St W,,,87,Mysteriously Yours Mystery Dinner Theatre,Performing Arts,416-486-7469,https://mysteriouslyyours.ca/,M5G 1Z4,Toronto
585 Dundas St E,,,88,Native Earth Performing Arts & Aki Studio,Performing Arts,416-531-1402,https://www.nativeearth.ca/,M5A 2B7,Toronto
60 Queen St W,,,89,Old City Hall,Landmark,416-338-0338,https://www.toronto.ca/311/knowledgebase/kb/docs/articles/Corporate-Real-Estate-Management/facilities-management/old-city-hall-toronto-courthouse.html,M5H 2M3,Toronto
199 Richmond St W,,,90,Onsite [at] OCADU,Gallery,416-977-6000,https://www.ocadu.ca/gallery/onsite,M5V 0H4,Toronto
770 Don Mills Rd,,,91,Ontario Science Centre,Attraction,416-696-1000,https://www.ontariosciencecentre.ca/,M3C 1T3,Toronto
130 Queen St W,,,92,Osgoode Hall,Landmark,416-947-3300,https://www.osgoode.yorku.ca/,M5H 2N6,Toronto
651 Yonge St,,,93,CAA Theatre (formerly Panasonic Theatre),Performing Arts,416-872-1212,https://www.mirvish.com/theatres/caa-theatre,M4Y 1Z9,Toronto
11 Polson St,,,94,Polson Pier,Attraction,416-469-5655,https://www.polsonpier.com/,M5A 1A4,Toronto
300 King St W,,,95,Princess of Wales Theatre,Performing Arts,416-872-1212,https://www.mirvish.com/theatres/princess-of-wales-theatre,M5V 1J2,Toronto
190 Princes' Blvd,,,96,Queen Elizabeth Theatre,Performing Arts,416-263-3293,https://queenelizabeththeatre.ca/,M6K 3C3,Toronto
110 Wellesley St W,,,97,Queen's Park: Legislative Assembly of Ontario,Landmark,416-325-7500,https://www.ola.org/en/visit-learn/parliament-government/explore-queens-park, ,Toronto
736 Bathurst St,,,98,Randolph Centre for the Arts,Performing Arts,416-924-2243,http://www.randolphcentreforthearts.com/,M5S 2R4,Toronto
95 Queens Quay E,,,99,Redpath Sugar Museum,Museum,416-366-3561,https://www.redpathsugar.com/,M5E 1A3,Toronto
45 Manitoba Dr,,,100,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,416-263-3900,https://www.coca-colacoliseum.com/,M6K 3C3,Toronto
288 Bremner Blvd,,,101,Ripley's Aquarium of Canada,Attraction,647-351-3474,https://www.ripleyaquariums.com/canada/,M5V 3L9,Toronto
201 Winchester St,,,102,Riverdale Farm,Attraction,416-392-6794,http://riverdalefarmtoronto.ca/,M4X 1B8,Toronto
550 Broadview Ave,,,103,Riverdale Park (East and West),Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html, ,Toronto
1 Blue Jays Way,,,104,Rogers Centre,Sports / Entertainment Venue,416-341-1000,https://www.mlb.com/bluejays/ballpark,M5V 1J4,Toronto
5 Glen Everest Rd,,,105,Rosetta McClain Gardens,Nature/ Park,416-392-8188,www.toronto.ca/data/parks/prd/facilities/complex/19/index.html,M1N 1J2,Toronto
195 Rouge Hills Dr,,,106,Rouge Beach Park,Nature/ Park,311,https://www.toronto.ca/data/parks/prd/facilities/complex/340/index.html,M1C 2Y9,Toronto
1749 Meadowvale Rd,,,107,Rouge National Urban Park,Nature/ Park,416-264-2020,https://www.pc.gc.ca/en/pn-np/on/rouge,M1B 5W8,Toronto
60 Simcoe St,,,108,Roy Thomson Hall,Performing Arts,416-872-4255,https://www.roythomsonhall.com/,M5J 2H5,Toronto
260 King St W,,,109,Royal Alexandra Theatre,Performing Arts,416-872-1212,https://www.mirvish.com/theatres/royal-alexandra-theatre,M5V 1H9,Toronto
273 Bloor St W,,,110,Royal Conservatory of Music,Performing Arts,416-408-2824,https://www.rcmusic.com/,M5S 1W2,Toronto
100 Queen's Park,,,111,Royal Ontario Museum,Museum,416-586-8000,https://www.rom.on.ca/en,M5S 2C6,Toronto
33 Gould St,,,112,Ryerson Image Centre,Gallery,416-979-5164,https://ryersonimagecentre.ca/,M5B 1E9,Toronto
43 Gerrard St E,,,113,Ryerson Theatre,Performing Arts,416-979-5009,https://www.ryerson.ca/university-business-services/event-space-reservations/theatre/, ,Toronto
4600 Bathurst St,,,114,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,416-631-5689,https://www.holocaustcentre.com/,M2R 3V2,Toronto
1007 Brimley Rd,,,115,Scarborough Museum,Museum,416-338-8807,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/scarborough-museum/,M1P 3E8,Toronto
3600 Kingston Rd,,,116,Scarborough Village Theatre,Performing Arts,416-267-9292,https://theatrescarborough.com/,M1M 1R9,Toronto
601 Christie St,,,117,Solar Stage Children's Theatre,Performing Arts,416-368-8031,https://solarstage.on.ca/,M6G 4C7,Toronto
1 Front St E,,,118,Meridian Hall (formerly Sony Centre for the Performing Arts),Performing Arts,416-368-6161,http://www.meridianhall.com/,M5E 1B2,Toronto
11 Dockside Dr,,,119,Sugar Beach Park,Nature/ Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/2261/index.html, ,Toronto
285 Spadina Rd,,,120,Spadina Museum,Museum,416-392-6910,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/,M5R 2V5,Toronto
120 King St E,,,121,St. James Park,Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/408/index.html, ,Toronto
27 Front St E,,,122,St. Lawrence Centre for the Arts,Performing Arts,416-366-1656,http://www.stlc.com/,M5E 1B4,Toronto
93 Front St E,,,123,St. Lawrence Market and Market Gallery,Attraction,416-392-7219,http://www.stlawrencemarket.com/,M5E 1C3,Toronto
255 Bremner Blvd,,,124,Steam Whistle Brewery,Attraction,647-697-0859,https://steamwhistle.ca/,M5V 3M9,Toronto
25 The West Mall,,,125,CF Sherway Gardens,Landmark,416-621-1070,https://www.cfshops.com/sherway-gardens.html,M9C 1B8,Toronto
1755 Lake Shore Blvd W,,,126,Sunnyside Beach,Nature/ Park,311,https://www.toronto.ca/data/parks/prd/facilities/complex/394/index.html,M6S 5A3,Toronto
1604 Bloor St W,,,127,Taras H. Shevchenko Museum,Museum,416-534-8662,http://www.infoukes.com/shevchenkomuseum/,M6P 1A7,Toronto
30 Bridgman Ave,,,128,Tarragon Theatre,Performing Arts,416-531-1827,http://www.tarragontheatre.com/,M5R 1X3,Toronto
55 Centre Ave,,,129,Textile Museum of Canada,Museum,416-599-5321,https://textilemuseum.ca/,M5G 2H5,Toronto
73 Simcoe St,,,130,The 48th Highlanders Museum,Museum,416-635-4440,http://www.48highlanders.com/04_03.html,M5J 1W9,Toronto
327 Bloor St W,,,131,The Bata Shoe Museum,Museum,416-979-7799,https://batashoemuseum.ca/,M5S 1W7,Toronto
147 Danforth Ave,,,132,The Danforth Music Hall,Performing Arts,416-778-8163,http://thedanforth.com/,M4K 1N2,Toronto
55 Mill St,,,133,The Distillery Historic District,Landmark,416-364-1177,https://www.thedistillerydistrict.com/,M5A 3C4,Toronto
231 Queens Quay W,,,134,The Power Plant Contemporary Art Gallery,Gallery,416-973-4949,http://www.thepowerplant.org/,M5J 2G8,Toronto
51 Mercer St,,,135,The Second City,Performing Arts,416-343-0011,https://www.secondcity.com/toronto/,M5V 1H2,Toronto
1115 Queen St W,,,136,The Theatre Centre,Performing Arts,416-538-0988,http://theatrecentre.org/,M6J 1J1,Toronto
2190 Bloor St W,,,137,The Village Playhouse,Performing Arts,416-767-7702,http://www.villageplayers.net/,M6S 1N3,Toronto
16 Ryerson Ave,,,138,Theatre Passe Muraille,Performing Arts,416-504-7529,http://passemuraille.ca/,M5T 2P3,Toronto
32 Distillery Lane,,,139,Thompson Landry Gallery - Stone Building & Cooperage Space,Gallery,416-364-4955,http://www.thompsonlandry.com/,M5A 3C4,Toronto
350 King St W,,,140,TIFF Bell Lightbox,Landmark,416-599-2033,https://www.tiff.net/,M5V 3X5,Toronto
67 Pottery Rd,,,141,Todmorden Mills Heritage Site,Landmark,416-396-2819,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/todmorden-mills/,M4K 2B9,Toronto
1 Leslie St,,,142,Tommy Thompson Park,Nature/ Park,416-661-6600,https://tommythompsonpark.ca/, ,Toronto
777 Lawrence Ave E,,,143,Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,416-397-1340,https://torontobotanicalgarden.ca/,M3C 1P2,Toronto
5040 Yonge St,,,144,Meridian Arts Centre (formerly Toronto Centre for the Arts),Performing Arts,416-733-9388,http://www.meridianartscentre.com/,M2N 6R8,Toronto
100 Queen St W,,,145,Toronto City Hall and Nathan Phillips Square,Landmark,311,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-hall/,M5H 2N1,Toronto
650 Dixon Rd,,,146,Toronto Congress Centre,Convention & Trade Centres,416-245-5000,https://www.torontocongresscentre.com/,M9W 1J1,Toronto
65 Front St W,,,147,Union Station,Transportation,311,https://torontounion.ca/,M5J 1E6,Toronto
220 Yonge St,,,148,CF Toronto Eaton Centre,Landmark,416-598-8560,https://www.cfshops.com/toronto-eaton-centre.html,M5B 2H1,Toronto
1 Centre Island Pk,,,149,Toronto Island Park,Nature/ Park,311,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/, ,Toronto
479 Queens Quay W,,,150,Toronto Music Garden,Nature/ Park,416-973-4000,http://www.harbourfrontcentre.com/venues/torontomusicgarden/, ,Toronto
 ,,,151,Toronto Pearson International Airport,Transportation,416-247-7678,https://www.torontopearson.com/en,L5P 1B2,Mississauga
40 College St,,,152,Toronto Police Museum & Discovery Centre,Museum,416-808-7020,http://www.torontopolice.on.ca/museum/,M5G 2J3,Toronto
24 Trinity Sq,,,153,Toronto Public Labyrinth at Trinity Square,Landmark or Attraction,416-338-4386,http://www.labyrinthnetwork.ca/toronto-public-labyrinth/, ,Toronto
255 Bremner Blvd,,,154,Toronto Railway Museum,Museum,416- 214-9229,https://torontorailwaymuseum.com/,M5V 3M9,Toronto
789 Yonge St,,,155,Toronto Reference Library,Landmark,416-395-5577,https://www.torontopubliclibrary.ca/torontoreferencelibrary/,M4W 2G8,Toronto
115 King St E,,,156,Toronto Sculpture Garden,Featured Park,416-392-4012,https://www.toronto.ca/explore-enjoy/history-art-culture/public-art/public-art-monuments-collection/comp-sculpture-garden/,M5C 1G6,Toronto
65 Front St W,,,157,Toronto Tourist Information Centre,Visitor Information,416-392-9300,https://www.toronto.ca/explore-enjoy/visitor-services/tourist-information-centres/,M5J 1E6,Toronto
224 Richmond St W,,,158,Yuk Yuk's,Performing Arts,416-967-6431,https://www.yukyuks.com/,M5V 1V6,Toronto
2000 Meadowvale Rd,,,159,Toronto Zoo,Attraction,416-392-5900,https://www.torontozoo.com/, ,Toronto
260 Adelaide St E,,,160,Toronto's First Post Office,Museum,416-865-1833,http://www.townofyork.com/,M5A 1N1,Toronto
65 Front St W,,,161,Travellers' Aid Society of Toronto,Visitor Information,416-366-7788,http://travellersaid.ca/,M5J 1E6,Toronto
620 Spadina Ave,,,162,Ukrainian Museum of Canada,Museum,416-923-9861,http://umcontario.com/,M5S 2H4,Toronto
555 Rexdale Blvd,,,163,Woodbine Racetracks,Attraction,416-675-7223,https://woodbine.com/,M9W 7G3,Toronto
15 King's College Crcl,,,164,Art Museum at the University of Toronto,Gallery,416-978-1838,https://artmuseum.utoronto.ca/,M5S 3H7,Toronto
115 Cumberland St,,,165,Village of Yorkville Park,Nature/ Park,416-338-4386,https://www.bloor-yorkville.com/village-yorkville-park-green-space-gem/, ,Toronto
40 Lakeshore Ave,,,166,Ward's Island Beach,Nature/ Park,416-338-4386,http://app.toronto.ca/tpha/beach/6.html,M5J 1X8,Toronto
80 Winchester St,,,167,Winchester Street Theatre,Performing Arts,416-967-1365,http://winchester.tdt.org/,M4X 1B2,Toronto
1675 Lake Shore Blvd E,,,168,Woodbine Beach,Nature/ Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,M4L 3W6,Toronto
500 Rexdale Blvd,,,169,Woodbine Shopping Centre and Fantasy Fair,Attraction,416-674-5200,http://www.fantasyfair.ca/,M9W 6K5,Toronto
1 Dundas St E,,,170,Yonge-Dundas Square,Landmark,416-979-9960,https://www.ydsquare.ca/, ,Toronto
235 Queens Quay W,,,171,York Quay Centre,Landmark,416-967-6425,http://www.harbourfrontcentre.com/,M5J 2G8,Toronto
3401 Dufferin St,,,172,Yorkdale Mall,Landmark,416-789-3261,https://yorkdale.com/,M6A 2T9,Toronto
50 Tank House Lane,,,173,Young Centre for the Performing Arts,Performing Arts,416-866-8666,https://www.youngcentre.ca/,M5A 3C4,Toronto
165 Front St E,,,174,Young People's Theatre,Performing Arts,416-862-2222,https://www.youngpeoplestheatre.org/,M5A 3Z4,Toronto
